drug	patient_id	viability_ratio	response_label	reference_edge_count	mean_delta_ecv	median_delta_ecv	dre_count_on_reference	coverage_fraction	circular_discovery_member
LDN193189	C45	0.139401	high_sensitivity	15	1.13421632444	0.696445266667	15	1	True
LDN193189	C132	1.128609	resistant	15	1.00212432444	0.496813433333	15	1	False
LDN193189	C138	0.867101	resistant	15	0.0508336755556	0.0104808333333	0	0	False
LDN193189	C166	0.939584	resistant	15	0.512221731111	0.154884733333	6	0.4	False
LDN193189	C307	0.394815	high_sensitivity	15	0.971924171111	0.600043666667	15	1	True
LDN193189	C324	0.482313	moderate	15	0.887279993333	0.4843931	9	0.6	False
LDN193189	CB3	0.173005	high_sensitivity	15	1.06105156222	0.579620333333	15	1	True
LDN193189	KUC3	0.497853	moderate	15	0.42961718	0.165888933333	4	0.266666666667	False
LDN193189	KUC17	0.950358	resistant	15	0.556938651111	0.263182833333	5	0.333333333333	False
LDN193189	KUC21	0.828055	resistant	15	0.274101857778	0.137303633333	4	0.266666666667	False
cetuximab	C45	0.256497	high_sensitivity	2	0.632996716667	0.632996716667	2	1	True
cetuximab	C132	0.358005	high_sensitivity	2	0.853525916667	0.853525916667	2	1	True
cetuximab	C138	0.709058	resistant	2	0.0373116	0.0373116	0	0	False
cetuximab	C166	0.536156	moderate	2	1.0614193	1.0614193	2	1	False
cetuximab	C307	0.653299	moderate	2	0.567864483333	0.567864483333	2	1	False
cetuximab	C324	0.360098	high_sensitivity	2	0.326259233333	0.326259233333	2	1	True
cetuximab	CB3	0.567322	moderate	2	0.169890183333	0.169890183333	0	0	False
cetuximab	KUC3	0.323933	high_sensitivity	2	1.26212443333	1.26212443333	2	1	True
cetuximab	KUC17	0.809604	resistant	2	0.5693833	0.5693833	2	1	False
cetuximab	KUC21	0.727126	resistant	2	0.30193555	0.30193555	1	0.5	False
