drug	node_id	logfc
LDN193189	CYP4F12	0.0
LDN193189	ID1	-4.536401
LDN193189	ID2	0.6879644444444444
LDN193189	ID2-AS1	0.3561291111111111
LDN193189	ID3	-4.067515333333334
LDN193189	KLF4	0.8748269999999999
LDN193189	LRIG1	1.5870782222222222
LDN193189	MGAT5	0.0
LDN193189	PAQR8	0.7069764444444445
LDN193189	RAB32	0.9079682222222222
LDN193189	RMRP	0.0
LDN193189	RN7SK	0.0
LDN193189	SMAD7	0.6922025555555557
LDN193189	TBX3	0.7362800000000002
LDN193189	TRAF5	1.2015442222222223
cetuximab	B3GNT3	0.0
cetuximab	C11orf24	0.9527654444444446
cetuximab	DHRS9	0.0
cetuximab	DUSP6	0.7100873333333334
cetuximab	EGR1	0.6394993333333333
cetuximab	EPHA2	0.7848317777777778
cetuximab	FOSL1	0.6327687777777778
cetuximab	IER3	0.8284912222222222
cetuximab	LDLR	0.0
cetuximab	PLK3	0.7824486666666667
cetuximab	SHB	0.8021876666666667
cetuximab	SLC35E2B	0.0
cetuximab	SPRY4	0.0
cetuximab	TNS4	0.5940243333333334
cetuximab	TRIM15	0.0
