drug	patient_id	node_id	logfc
LDN193189	C45	CYP4F12	0.0
LDN193189	C45	ID1	-4.506085
LDN193189	C45	ID2	0.6578293333333334
LDN193189	C45	ID2-AS1	0.414831
LDN193189	C45	ID3	-3.828642
LDN193189	C45	KLF4	0.8595033333333334
LDN193189	C45	LRIG1	1.9124393333333334
LDN193189	C45	MGAT5	0.0
LDN193189	C45	PAQR8	0.6875743333333334
LDN193189	C45	RAB32	0.9338259999999999
LDN193189	C45	RMRP	0.0
LDN193189	C45	RN7SK	0.0
LDN193189	C45	SMAD7	0.6444580000000001
LDN193189	C45	TBX3	0.6760983333333334
LDN193189	C45	TRAF5	1.1627850000000002
LDN193189	C307	CYP4F12	0.0
LDN193189	C307	ID1	-5.095278
LDN193189	C307	ID2	0.75432
LDN193189	C307	ID2-AS1	0.22577833333333333
LDN193189	C307	ID3	-4.300684
LDN193189	C307	KLF4	0.8593263333333333
LDN193189	C307	LRIG1	1.4621473333333332
LDN193189	C307	MGAT5	0.0
LDN193189	C307	PAQR8	0.7087733333333333
LDN193189	C307	RAB32	0.9060473333333334
LDN193189	C307	RMRP	0.0
LDN193189	C307	RN7SK	0.0
LDN193189	C307	SMAD7	0.65539
LDN193189	C307	TBX3	0.7417586666666667
LDN193189	C307	TRAF5	1.1802566666666667
LDN193189	CB3	CYP4F12	0.0
LDN193189	CB3	ID1	-4.00784
LDN193189	CB3	ID2	0.651744
LDN193189	CB3	ID2-AS1	0.427778
LDN193189	CB3	ID3	-4.07322
LDN193189	CB3	KLF4	0.9056513333333333
LDN193189	CB3	LRIG1	1.386648
LDN193189	CB3	MGAT5	0.0
LDN193189	CB3	PAQR8	0.7245816666666668
LDN193189	CB3	RAB32	0.8840313333333333
LDN193189	CB3	RMRP	0.0
LDN193189	CB3	RN7SK	0.0
LDN193189	CB3	SMAD7	0.7767596666666666
LDN193189	CB3	TBX3	0.7909830000000001
LDN193189	CB3	TRAF5	1.2615910000000001
LDN193189	C132	ID1	-4.980945
LDN193189	C132	ID2	0.7481223333333333
LDN193189	C132	ID3	-3.704677
LDN193189	C132	LGR5	0.0
LDN193189	C132	PMFBP1	0.0
LDN193189	C132	RGMB	0.0
LDN193189	C132	UNC93A	0.0
