drug	source	target
LDN193189	PAQR8	ID3
LDN193189	TRAF5	MGAT5
LDN193189	ID3	ID1
LDN193189	RN7SK	RMRP
LDN193189	ID2	ID1
LDN193189	ID1	ID2
LDN193189	TBX3	PAQR8
LDN193189	LRIG1	TBX3
LDN193189	ID2	KLF4
LDN193189	ID2	ID2-AS1
LDN193189	ID1	ID3
LDN193189	PAQR8	CYP4F12
LDN193189	RAB32	ID1
LDN193189	SMAD7	PAQR8
LDN193189	PAQR8	SMAD7
cetuximab	EPHA2	EGR1
cetuximab	C11orf24	EGR1
cetuximab	IER3	TNS4
cetuximab	SHB	EGR1
cetuximab	TNS4	IER3
cetuximab	DUSP6	SPRY4
cetuximab	EPHA2	FOSL1
cetuximab	FOSL1	DUSP6
cetuximab	EPHA2	PLK3
cetuximab	SLC35E2B	DHRS9
cetuximab	B3GNT3	LDLR
cetuximab	EPHA2	TRIM15
