drug	gene	patient_id	value
LDN193189	LRIG1	C132	1.2048123333333332
LDN193189	TBX3	C132	0.7782376666666666
LDN193189	PAQR8	C132	0.7220883333333333
LDN193189	SMAD7	C132	0.7193793333333334
LDN193189	ID2-AS1	C132	0.8354906666666667
LDN193189	ID2	C132	0.7481223333333333
LDN193189	KLF4	C132	0.9570666666666666
LDN193189	RAB32	C132	0.9063586666666666
LDN193189	TRAF5	C132	1.1363873333333334
LDN193189	LRIG1	C138	0.9953393333333334
LDN193189	TBX3	C138	0.9678843333333335
LDN193189	PAQR8	C138	0.9966273333333332
LDN193189	SMAD7	C138	1.0035726666666667
LDN193189	ID2-AS1	C138	3.3189173333333333
LDN193189	ID2	C138	1.156332
LDN193189	KLF4	C138	0.990977
LDN193189	RAB32	C138	0.430121
LDN193189	TRAF5	C138	0.9865506666666667
LDN193189	LRIG1	C166	1.17718
LDN193189	TBX3	C166	0.978574
LDN193189	PAQR8	C166	0.9252686666666667
LDN193189	SMAD7	C166	0.923982
LDN193189	ID2-AS1	C166	0.5864996666666666
LDN193189	ID2	C166	0.9399286666666667
LDN193189	KLF4	C166	0.9145023333333334
LDN193189	RAB32	C166	0.9345503333333333
LDN193189	TRAF5	C166	1.1594156666666666
LDN193189	LRIG1	C307	1.4621473333333332
LDN193189	TBX3	C307	0.7417586666666667
LDN193189	PAQR8	C307	0.7087733333333333
LDN193189	SMAD7	C307	0.65539
LDN193189	ID2-AS1	C307	0.22577833333333333
LDN193189	ID2	C307	0.75432
LDN193189	KLF4	C307	0.8593263333333333
LDN193189	RAB32	C307	0.9060473333333334
LDN193189	TRAF5	C307	1.1802566666666667
LDN193189	LRIG1	C324	1.1869816666666666
LDN193189	TBX3	C324	0.8199426666666666
LDN193189	PAQR8	C324	0.7478616666666666
LDN193189	SMAD7	C324	0.69545
LDN193189	ID2-AS1	C324	0.686141
LDN193189	ID2	C324	0.7272083333333333
LDN193189	KLF4	C324	0.9210696666666666
LDN193189	RAB32	C324	0.9556266666666667
LDN193189	TRAF5	C324	1.0826006666666668
LDN193189	LRIG1	C45	1.9124393333333334
LDN193189	TBX3	C45	0.6760983333333334
LDN193189	PAQR8	C45	0.6875743333333334
LDN193189	SMAD7	C45	0.6444580000000001
LDN193189	ID2-AS1	C45	0.414831
LDN193189	ID2	C45	0.6578293333333334
LDN193189	KLF4	C45	0.8595033333333334
LDN193189	RAB32	C45	0.9338259999999999
LDN193189	TRAF5	C45	1.1627850000000002
LDN193189	LRIG1	CB3	1.386648
LDN193189	TBX3	CB3	0.7909830000000001
LDN193189	PAQR8	CB3	0.7245816666666668
LDN193189	SMAD7	CB3	0.7767596666666666
LDN193189	ID2-AS1	CB3	0.427778
LDN193189	ID2	CB3	0.651744
LDN193189	KLF4	CB3	0.9056513333333333
LDN193189	RAB32	CB3	0.8840313333333333
